	RDC_C	RDC_N
pp_220161	1.3829658086666667	1.1608777926666667
pp_144430	3.6669559383333334	3.934593511
pp_197287	1.328215401	1.2552366106666666
pp_104893	26.285347163333334	25.106661876666667
pp_234868	65.44509511	68.25827142333333
pp_235215	2.161687246	2.066698156333333
pp_179602	8.968648312	9.390553648333334
pp_136408	2.7811911026666665	2.898672406
pp_70288	47.30601299666667	49.1160112
pp_66307	297.02926	311.6907731333333
pp_73724	67.66861461666667	71.74869083666667
pp_89724	1.317869222	1.234938064
pp_233599	6.006691319333333	5.766891667
pp_136166	45.11353246	46.85895045666667
pp_116951	8.593138475333333	8.114561617333333
pp_135309	60.000148476666666	62.26557563666667
pp_224274	2.1667108853333334	2.277142265
pp_84298	1.6251891543333332	1.6983390183333333
pp_104276	6.380555574333333	6.130529623
pp_95328	0.738028491	0.800234586
pp_241487	8.730225584333333	9.080528939666667
pp_232296	0.6130485386666666	0.5575721533333333
pp_237304	92.10137391333333	96.41706789
pp_137882	1.7469503943333333	1.822524899
pp_223508	102.53949237333333	98.96544117333333
pp_59918	0.256419357	0.2853085543333333
pp_172462	125.08784731333333	120.25181613333334
pp_155396	1.5574905123333334	1.670839196
pp_100249	2.3817118676666666	2.2763789246666666
pp_232120	32.18041077666666	33.524305256666665
pp_98295	1.4148889443333335	1.5176811376666666
pp_172341	2.993197947	2.8327388316666666
pp_225245	22.878655483333333	21.782203446666667
pp_104274	9.797697360666668	9.412661824666666
pp_224409	5.0268655786666665	5.237091479666667
pp_134827	1540.0400686666667	1416.4673963333335
pp_217178	1.0416287733333334	1.1041061583333334
pp_213934	2.251523411	2.111677554
pp_198064	1.1160413083333334	1.0493591403333333
pp_136864	2.3018986556666667	2.4115051326666666
pp_163800	2.3366458696666665	2.2255743629999998
pp_66091	26.164923676666668	24.48299846866667
pp_79482	2.5379885903333332	2.404252076666667
pp_234621	2.2879723183333334	2.401717283
pp_58193	1.682163088	1.4461169843333335
pp_194677	304.8092676	318.6878379
pp_234792	317.57706840000003	331.6802031666667
pp_161370	29.03250791	30.160304356666664
pp_154905	12.758360201	12.207410766333332
pp_100445	20.87472728	21.879133271
pp_201283	1.7225661883333334	1.6166283586666665
pp_172475	1.936071561	2.0367078530000002
pp_72829	3.200466848	3.052500255
pp_129214	0.19452623400000002	0.17596219966666668
pp_58608	6.761657902666666	6.498391392333334
pp_59959	1.2347774996666667	1.3257883083333333
pp_104669	2.6017740886666667	2.448322805
pp_187648	3.2495530126666665	3.3901845003333335
pp_85537	6.46611504	6.735173355666666
pp_155734	15.139605623333333	14.578923673333334
pp_200268	2.0736470186666667	2.166173433
pp_240047	102.56659380333333	106.85917659666667
pp_212365	2.935327358	3.058751505
pp_208894	60.76502661333333	63.205499956666664
pp_199987	2.9937781533333334	2.8543938846666665
pp_124348	1.3750464076666669	1.5078980943333333
pp_181201	3.602439986	3.7461158093333333
pp_89289	0.208716704	0.260646342
pp_158347	1.3110293016666665	1.242382058
pp_105540	35.36085044	36.813535566666665
pp_136385	4.380845865333333	4.559779372666666
pp_57632	2.714581889	2.4830861079999997
pp_220916	3.7313898966666668	3.8947648723333335
pp_203828	0.9061781053333333	0.9773059030000001
pp_179459	2.4988909693333334	2.3875060876666665
pp_102288	1.1000795683333333	1.1628559366666666
pp_174974	14.649551207	15.309034426666667
pp_225314	4.8298085256666665	4.63507886
pp_198205	31.291272056666667	29.68292479
pp_107555	0.733961393	0.6192713306666666
pp_208786	14.590321213333333	15.42007736
pp_112068	12.208886563333333	11.734550019
pp_210854	2.5608430826666666	2.323198502
pp_152783	0.8083032880000001	0.8844025846666667
pp_200304	2.4957015713333335	2.392046324333333
pp_218605	3.1036224863333333	2.7334698133333335
pp_215384	2.421460951	2.546492718
pp_209458	15.370852993333333	16.455824111666665
pp_128188	2.4766692206666665	2.773862569
pp_33868	1.2577888453333335	1.1925916793333333
pp_136576	3.2316412286666667	3.4917486066666665
pp_94495	2.6580078756666667	2.782856269333333
pp_198095	2.8581324133333332	2.736873235
pp_120364	1.8018405873333332	1.7200198823333332
pp_182211	17.50860393	18.299993173333334
pp_102844	3.7916854123333334	3.9952046776666665
pp_215568	269.8432823333333	242.42380175666668
pp_186070	43.153159243333334	41.38354711
pp_108935	7.656359881333333	7.9350653043333335
pp_89921	2.8837207886666665	3.1324119193333333
pp_83452	37.98884585	36.24712159333333
pp_177837	4.3751895313333335	4.211567918
pp_96782	31.88217257666667	33.19375281
pp_202732	2.2548946713333335	2.1444257643333335
pp_152210	1.4637416313333333	1.542899136
pp_148477	0.7847770746666667	0.846437016
pp_246712	0.706956828	0.7572219216666667
pp_115092	0.36405582533333336	0.39751468233333337
pp_79744	15.81434484	15.202712836
pp_233946	2.2243723883333333	2.092914745333333
pp_96146	2.9825797103333334	3.1209992073333335
pp_227107	23.537213296666668	22.400266786666666
pp_165702	3.405978133	3.574776539
pp_66831	2.4586086986666666	2.5696089413333336
pp_129814	125.77108401333334	131.79857205
pp_216841	9.694735934666667	10.073576331
pp_212926	17.224774706666665	16.393840446
pp_200306	4.2425585120000004	4.071562558666667
pp_82132	14.310545996666667	15.00061276
pp_118191	5.197850369666667	6.070279962333333
pp_79148	1.1159605486666666	1.0452691063333335
pp_246642	0.3073424906666667	0.33663586366666665
pp_111488	7.395518193666667	7.788821233
pp_119445	394.5944967666667	413.6995607
pp_118423	11.870489049666666	11.305990765333332
pp_96111	2.0665798813333334	2.184433428333333
pp_212221	2.8908473796666665	2.594618921
pp_197260	6.703856374333333	7.000270219000001
pp_222192	0.949074577	0.8930295366666667
pp_104600	1.6395023933333333	1.7297250383333334
pp_95229	2.409702476	2.5391551386666666
pp_203196	124.1809557	118.34013372666666
pp_198236	9.145922408333334	8.609143282333333
pp_105362	6.368591804333334	6.64357756
pp_212151	8.858504476333334	8.533871215
pp_76437	1.206024291	1.3611118053333333
pp_236418	18.231258534	16.95174067
pp_115810	98.13752692	93.63362282
pp_66253	1198.4794293333334	1157.1197666666667
pp_189139	0.45833365633333334	0.41619054633333336
pp_86501	6.637622412	6.9128280669999995
pp_124987	9.800175073333333	10.192685864333333
pp_152578	1.5379219229999999	1.431512709
pp_66708	260.13328609999996	280.44287346666664
pp_247279	1.168493176	1.2429534036666667
pp_86589	1.8655136079999999	1.9412424753333333
pp_140704	6.858166843	7.261615279333333
pp_164357	1.7644459626666666	1.5479544263333334
pp_94248	2953.6824353333336	3138.8560706666667
pp_215864	1.4459393896666668	1.525460466
pp_211518	50.40093387333334	53.364579563333336
pp_164268	7.166926826666667	6.872699555
pp_236945	124.81694193333334	129.83954731333333
pp_218569	5.794081111	6.027785966666666
pp_245615	1.8229665226666667	1.9079096223333334
pp_218985	5.624915331666666	5.414697888333333
pp_129529	0.7325448596666667	0.6739877646666667
pp_170891	30.71765131333333	32.56517676233333
pp_243101	8.096116209333333	7.7004710156666665
pp_241981	15.095296153333333	15.636384423333332
pp_62044	2.757907168	2.6519541373333335
pp_78789	2.9426434633333334	3.0948253403333332
pp_184629	30.636459096666666	29.319234443333333
pp_112292	35.54386627	36.91600727
pp_166088	5.401727147666667	5.159819781
pp_73925	2.316460966333333	2.216635000666667
pp_98215	8.704958308666667	9.025747897
pp_111489	6.602871035333333	6.960263803666667
pp_168449	16.78977795666667	15.811265273333333
pp_198207	13.841465323333333	14.501325120666667
pp_149586	4.9599880983333335	5.148886921333333
pp_181899	1.64890507	1.5393885393333333
pp_146386	1.0994040566666667	1.2831768163333332
pp_89918	2.5996004286666667	2.435907546333333
pp_142549	3.530070245666667	3.6858691746666667
pp_202791	19.294733636666667	18.63389086
pp_60030	1.1409008243333334	1.2086957673333334
pp_135205	4.584009448333333	4.401563878
pp_181294	1.4426756649999999	1.3355746703333333
pp_136463	11.444558751	10.812637707
pp_64581	13.797915386666666	14.433179106666667
pp_135312	1.0086694006666668	1.0860859246666668
pp_199357	72.08914043	68.32076418
pp_95585	2.1806263993333332	2.068951090666667
pp_161036	47.69647724	45.7070703
pp_134627	1.7677924896666666	2.0092324093333334
pp_211662	39.58990924333334	37.60680490666667
pp_202159	5.346910046333333	5.145893763666667
pp_73746	2.1624345286666666	2.2728479623333335
pp_245306	2.694427108	2.8340341700000002
pp_56744	91.61371076333333	95.28565328333335
pp_158829	2.599042488333333	2.7066317923333334
pp_76340	26.256133716666668	25.117478946666665
pp_201236	2.14415996	2.236697001
pp_58911	73.21861487333334	75.88450471666667
pp_109810	9.827611873999999	10.367324222666666
pp_203637	2.005782088	2.0924230136666666
pp_172306	1.6448897763333334	1.7808521256666667
pp_109043	3.421691864333333	3.5637224
pp_143862	2.458927431	2.565052418
pp_120217	3.2888753323333333	3.6608870153333335
pp_202827	5.097699275666667	4.884618761333333
pp_210002	0.6106776796666666	0.6677797713333333
pp_172786	6.478759415	6.242106453
pp_197216	11.310398236666666	10.872557539999999
pp_172414	11.782430159333334	12.337230647
pp_105367	6.752454191666667	6.470080462333333
pp_235066	11.54826483	11.959274956666667
pp_242962	724.0402131666667	762.2459651666666
pp_85134	0.513748304	0.553611786
pp_199762	3.3290525186666664	3.188454256
pp_184218	3.5104321676666665	3.648049786
pp_68675	28.5464829	27.522363296666665
pp_246679	2.0552521523333334	2.1927317533333333
pp_212104	5.937025253	6.197711937333334
pp_152576	1.631957647	1.5252622663333333
pp_241111	0.43100816366666667	0.3889394076666667
pp_212728	10.772078153666666	11.193262605
pp_119369	1.721317351	1.916001985
pp_215003	62.90468869666667	60.638198333333335
pp_89053	1.749271852	1.8880082016666666
pp_60588	2.34305626	1.8019727386666666
pp_98305	2.1313743246666665	1.9152272346666668
pp_147595	36.39323562	38.80394190333333
pp_66776	10.784431125666668	10.358773999
pp_201016	18.951308966666666	19.633932873333336
pp_57793	3.9818179946666667	3.7765177983333333
pp_209171	44.93056883	42.132397749666666
pp_107243	0.5605742166666667	0.5092498436666667
pp_111610	4.605063784333334	4.789839358
pp_208936	17.61672384	16.452451772666667
pp_132467	809.4430838	846.7013022333333
pp_61921	0.027685702000000003	0.037987197
pp_205826	13.354773086	13.988999262666667
pp_79122	8.173772637333334	7.860656767
pp_141353	33.5592708	32.38005264666667
