	RDV_C	RDV_N
pp_145166	2.063992733666667	2.118490292333333
pp_68855	97.60128461333333	99.66719913666667
pp_141722	55.201285223333336	56.01860447666667
pp_211773	5.311627255666666	5.427891207333333
pp_95606	2.8285871523333332	2.7757914693333334
pp_226617	10.565341860333334	10.879682519333333
pp_107701	3.855657085333333	3.7736169133333335
pp_126990	1.8293386863333334	1.791688698
pp_57517	0.5437075816666667	0.5198681163333333
pp_157905	531.7916203	523.7460639333333
pp_205801	15.213003356666666	14.875336696333333
pp_204003	12.844240016666667	12.639307435
pp_161226	32.88703183	31.599211835333332
pp_206174	22.681726466666667	22.348808876666666
pp_154408	2.133567031	2.1714125793333334
pp_195869	4.997127675	4.868100821333333
pp_64318	2.355324656666667	2.3087198166666667
pp_171581	1.8840079463333332	1.9247302406666666
pp_144084	0.6587719533333334	0.6320603043333334
pp_138501	178.08298503333333	180.8087988
pp_154393	1.0655593843333333	1.0348637083333334
pp_136283	36.00592998333333	35.33234821
pp_233760	3.0223892893333333	2.960311563
pp_143921	1.0682788653333333	1.1106261259999999
pp_211714	4.393508828333333	4.4821990456666665
pp_170894	3.491276356	3.406327081
pp_74623	10.441700437	10.194413487
pp_181346	0.726050706	0.6951017086666667
pp_199304	4.771023130333333	4.6932631743333335
pp_191878	8.239859629666666	8.059433768
pp_83174	0.10692025133333334	0.10020525933333334
pp_58918	13.79752011	13.511691771999999
pp_238734	4.082919438999999	3.995414897333333
pp_166174	11.509621153333333	11.781386303
pp_134778	0.10056196566666667	0.09212621133333333
pp_182430	4.226284929	4.309004302333333
pp_114650	16.112322363333334	16.35072833
pp_164385	2.968128254333333	2.9231900243333335
pp_128977	5.573761634	5.703848815333333
pp_58647	12.428528816666667	12.637209563333332
pp_217221	0.102233625	0.109815127
pp_222541	6.952707003333333	7.059046869
pp_236187	4.358184237333333	4.285253175333334
pp_107613	2.4920491476666666	2.5589460953333334
pp_98188	55.78760486666667	54.91853664
pp_74861	2.236384515	2.177238785666667
pp_107530	12.03486635	11.839041279
pp_120575	2.229794964	2.3019356586666664
pp_120569	1.8056100306666667	1.8684683003333333
pp_198259	1.9772594263333334	1.9369334226666666
pp_219008	3.9040837543333335	3.812435691333333
pp_111586	32.519849969999996	33.00007453333333
pp_203258	66.2943289	65.24879002666667
pp_99963	7.255923252333334	7.033449554666666
pp_209211	3.2429263529999997	3.3688046596666665
pp_94856	2.6813016643333336	2.574306201666667
pp_173284	23.465623003333334	23.092600736666665
pp_136551	2.6293504383333333	2.536721053
pp_235998	1.1747979576666667	1.1427081063333333
pp_175111	0.9358384059999999	0.9829800036666667
pp_206165	2.6471348243333335	2.7010204853333333
pp_216463	1.4726009526666666	1.5038587303333333
pp_67667	33.22728837	32.69826
pp_180016	5.434107518666667	5.282514606666667
pp_132644	0.7632582356666667	0.7829252283333333
pp_198900	147.4101394	153.78952464333335
pp_205835	6.253658124	6.061547904
pp_120923	1.5490802513333333	1.511479562
pp_217131	2.756521782	2.8952271350000003
pp_154955	18.89582356	18.534320553333334
pp_85499	25.602029483333332	26.849212383333334
pp_162044	12.495712133333333	12.693142713333334
pp_61841	3.771491911	3.8433289483333333
pp_148236	1.5618896933333333	1.6719006543333332
pp_120592	10.157196651666666	10.312635067
pp_208942	35.988880476666665	36.71103047333333
pp_129352	8.015111549	7.877784868333333
pp_61872	2.6045297406666665	2.6649778896666665
pp_236365	1.320433241	1.2890984296666668
pp_197601	1.3070328993333333	1.2733243776666667
pp_223120	1.671877646	1.6335010996666666
pp_224278	8.736154413666666	8.894730919333334
pp_95855	18.441247766666667	18.149913483333336
pp_100974	1.781882855	1.7416503236666667
pp_240945	1.381800505	1.338282482
pp_164118	2.0271521273333333	2.075475585
pp_220054	2.8073595846666666	2.8591596403333335
pp_129433	5.573134719666666	5.702883033666667
pp_148602	35.38894867333333	36.15169016
pp_82225	21.05565596	21.383867863333332
pp_67074	3.136761304666667	3.2175966363333335
pp_173661	10.109300983333334	10.360728458333334
pp_140002	8.161730239	8.020180785666668
pp_109548	5.903067528333334	5.806349465333334
pp_153627	1.8808859186666667	1.8431931923333333
pp_206155	2.4101838256666666	2.3620638226666664
pp_123543	143.94398746666667	146.32138648
pp_215922	102.89881726666667	101.12029096
pp_217596	2.560659889	2.5141198683333332
pp_217040	2.8610523949999997	2.914400785333333
pp_96063	2.0512690846666666	1.9550468606666667
pp_188602	4.5854922479999995	4.657229509333334
