	RM_C	RM_N
pp_203226	0.168597461	0.140597931
pp_85430	9.237132488	8.687031171666666
pp_133435	6.051642297	5.625041860333333
pp_196397	2.2845568303333335	2.0995839666666667
pp_198645	0.22280669133333333	0.255508291
pp_124805	3.143879079	2.859251566666667
pp_145967	2.0229079653333333	2.206521855
pp_159232	1157.4614326	1240.2307527666667
pp_108335	17.521893716666668	16.49944527
pp_197641	6.827312917666667	6.301135861666666
pp_211599	8.272785196	7.812239607333333
pp_109244	2.441107253333333	2.2743858506666665
pp_86471	1.5083578913333333	1.688804813
pp_165826	1.5032651003333333	1.3750941879999998
pp_214352	4.912449866666667	4.297967731
pp_10407	7.2546498129999994	7.7214180856666665
pp_216158	1.4527229943333333	1.5764765983333333
pp_74606	11.790902458333333	12.58416458
pp_227520	1.4270756196666667	1.3065175516666667
pp_172588	3.023246766333333	3.2461469356666663
pp_137889	2.218512411333333	2.067721563
pp_209822	2.3359696446666667	2.0490022123333334
pp_202395	6.597943064666667	5.728456608666667
pp_209647	4.552930748333333	4.865518203666666
pp_125339	3.767701113	3.38382585
pp_83420	0.8643042643333333	1.27904395
pp_212045	10.470067156	9.883779461666666
pp_73201	6.904817006	6.479039516
pp_102288	1.4290490373333333	1.5562030973333334
pp_108286	9.725100630666667	10.291663804666667
pp_209324	2.750146559	2.5792340769999997
pp_189284	81.70217921	86.84070072
pp_86467	1.61821722	1.804797392
pp_170725	48.56227869	45.73363718666667
pp_215003	42.144436719999995	44.752268726666664
pp_214857	13.975875346666667	14.79756467
pp_202146	2.0296192576666665	1.863528374
pp_147704	5.116506287	4.391107549666667
pp_152172	83.78821459	79.13724278333333
pp_205350	4.687607985333334	5.448893743666667
pp_204052	0.8550088236666666	0.7764571273333333
pp_217120	3.1763640726666664	2.97539759
pp_188781	1.552692607	1.6820556409999998
pp_123460	16.119172123333332	17.106853826666665
pp_231725	1.2794620596666666	1.3876837766666668
pp_178116	1.2679789266666668	1.394739307
pp_64287	33.61173357333333	31.615695536666667
pp_124559	1.6431538093333333	1.7801946146666665
pp_209614	0.3416044543333333	0.40654347166666666
pp_200301	2.412754805	2.236487264
pp_156867	8.547608441666666	9.095077794333333
pp_116711	0.14011982333333334	0.164066991
pp_215822	0.06689743466666667	0.084082212
pp_61883	0.8773975543333333	0.9919384323333333
pp_100869	27.924124293333332	29.68722811
pp_195243	7.8201711933333335	8.293907516
pp_86235	29.831488426666667	31.58594945666667
pp_67666	1.9267150296666666	2.091079387333333
pp_152257	7.5478364723333335	7.984732996666667
pp_233596	3.295418905	3.083291471
pp_214112	16.969380236666666	15.339133025999999
pp_104816	3.620801047	3.8526810823333335
pp_58519	146.9520188	138.55204033333334
pp_85593	8.308625143	7.828421883
pp_203763	0.5094292883333333	0.3718255583333333
pp_209265	3.2863456316666664	2.9731638756666667
pp_198022	33.019340283333335	31.01271542
pp_85390	3.4654753956666666	3.2497032446666667
pp_89852	1.5938213066666667	1.9425175426666668
pp_76406	2.416548256	2.23749107
pp_204137	6.585023627666667	6.045070867333333
pp_155907	6.6146354013333335	6.197242957333334
pp_220959	8.927073705	9.550062543
pp_235108	4.114124248666666	3.837968812
pp_110714	146.2364441	136.93192516666667
pp_252184	6.207855865333333	5.738999089
pp_152484	2.5397331426666665	2.7213440943333334
pp_206018	4.248070964	4.512556270666667
pp_215571	137.69975633333334	130.05008443333332
pp_112728	1.3808884276666666	1.507479158
pp_209213	2.0189654266666666	1.6932355656666667
pp_115989	1.6289024396666665	1.9719244786666668
pp_223491	2.99931437	2.7898542866666665
pp_155761	5.792131020666667	6.208398542333334
pp_127434	0.8991428783333334	1.0269961833333334
pp_201631	3.5595961463333334	3.8364148046666666
pp_219812	10.793340756333333	10.023601577666666
pp_93025	1.1722641236666667	1.036438577
pp_165699	5.404816804666667	5.011409928333333
pp_223258	11.192291708333334	9.839713106666666
pp_173103	7.983281764333333	7.527177996
