	RC_C	RC_N
pp_114047	0.6938819086666667	0.09031747833333333
pp_57426	0.15380114166666667	0.0
pp_120223	0.12924004066666667	0.0
pp_215040	0.016848985666666667	0.5511759993333334
pp_85071	2.077610731	0.41158384166666667
pp_145242	0.2671218066666667	7.732897776666667
pp_242272	0.018128918333333334	9.32562767
pp_196502	1.0997688033333335	0.096512432
pp_141515	0.09486187	2.0536680406666665
pp_211620	1.1409224096666666	0.20994395066666668
pp_79848	0.6211851496666667	0.135675316
pp_139982	1.0479090526666668	0.15132596333333334
pp_152852	0.30928416233333333	2.247455695
pp_189331	0.114695806	6.467536675333333
pp_123534	0.022281157333333333	3.315057796
pp_57933	35.65218307466667	0.008511428333333333
pp_112751	3.1354458176666666	0.051068569333333334
pp_118241	0.891614754	3.1955708136666665
pp_236048	173.89607822	54.4283645
pp_87595	0.261916566	3.0926993013333335
pp_118216	1.124586397	6.839709512333333
pp_155608	0.233694034	0.0
pp_145483	0.235955859	0.010827903
pp_179056	1.850892981	14.443778013333333
pp_110387	11.744653527	2.435075384666667
pp_66240	0.08636496633333333	0.0
pp_212213	0.361224037	0.023247557
pp_94157	0.636325806	0.021655806
pp_123511	0.45244624833333336	0.019879830666666667
pp_235795	0.16234564966666667	0.0
pp_211809	0.15400831	0.017563356
pp_57516	0.8125375013333334	0.13123537733333335
pp_100086	0.13003991266666667	0.0
pp_216257	0.413752898	16.484709844
pp_110385	11.476736867	2.4210705833333335
pp_110549	5.565608858	0.853582024
pp_94625	5.805937179333333	0.7099810873333333
pp_134834	0.06686862	3.225166599
pp_94619	2.847108484	0.39455558566666665
pp_229528	1.1231197406666666	0.0
pp_74831	0.12586252533333334	0.0
pp_68493	0.20577016	0.009669665666666667
pp_78956	0.20929283866666665	0.009051927666666666
pp_225435	0.548837437	0.094002946
pp_203626	1.99291361	0.3400268316666667
pp_68616	0.525343739	0.12192198633333333
pp_197369	0.09589440133333334	0.0
pp_147733	0.41413574000000003	0.06706992133333334
pp_104113	0.012176795666666667	3.0853927296666668
pp_224531	0.11159855366666667	0.0
pp_195976	5.488047682333334	0.545949138
pp_128871	2.691647692666667	0.794527306
pp_199412	0.32896355299999996	0.0
pp_125274	3.6010364296666664	0.059369242
pp_203628	3.2843083010000003	0.6032368376666667
pp_57708	0.0	0.30859523699999997
pp_68984	9.341046357	37.387787143333334
pp_218014	0.23497396633333334	0.0
pp_168745	5.515691701	0.25343335466666667
pp_198296	5.015449761333333	0.3593183303333333
pp_58120	0.3252112503333333	0.0
pp_203716	0.9596312166666667	0.15582218
pp_72590	0.17254722933333333	0.0
pp_44257	0.27316142466666665	3.3750456460000002
pp_117264	0.14904882766666666	0.0
pp_128651	0.47822927233333334	1.8458440406666667
pp_64760	0.0	17.50871923
pp_85081	4.889052753333333	0.538879063
pp_101776	0.0	2.2195435260000003
pp_149463	0.945427607	0.11391252366666667
pp_189111	0.11107860233333333	0.0
pp_183327	3.5675383653333332	0.078892798
pp_68707	0.7647843956666667	0.13112839166666668
pp_251813	0.015169117	0.68794075
pp_246332	1.1027463823333332	0.075049637
pp_125667	3.4681931543333335	0.943961692
pp_78174	0.020081337	2.467292679333333
pp_94160	0.34282021733333334	0.008511428333333333
pp_116730	1.488201147	0.07404587700000001
pp_155059	0.6045792286666667	3.9400870020000003
pp_111857	0.6572217583333333	0.032483709
pp_229527	0.8000710873333333	0.0
pp_225096	0.9894525343333334	0.21721111666666665
pp_152846	0.282730751	2.035426985
pp_72606	1.6261363616666666	4.601374581666667
pp_85070	1.608768424	0.396066711
pp_136319	1.2847053836666666	0.19744384166666665
pp_237604	0.0	1.0066650046666668
pp_67410	0.0	0.4332219036666667
pp_188931	0.05209943933333334	0.7074009666666666
pp_198904	1.1583731783333333	0.05160906866666667
pp_85791	1.0108135133333334	0.0
pp_57913	0.186826627	0.0
pp_253422	0.605921875	0.08800100366666666
pp_61923	0.409781036	10.199098118333334
pp_134836	0.10483884533333333	2.6972158216666666
pp_104119	0.009584410333333333	7.57942683
pp_212398	2.0393472083333335	0.2570093116666667
pp_85080	3.5495952483333335	0.42136388033333333
pp_130416	2.4945805943333332	0.316752573
pp_110382	2.385625051	0.5707382596666667
pp_154941	0.738157246	0.11541824966666667
pp_203720	4.694383314	0.513919903
pp_172965	0.4048889193333333	0.03744318666666667
pp_94633	3.3367089506666665	0.48242307300000004
pp_225101	1.635640346	0.295040489
pp_97471	0.19097149466666669	0.0
pp_164245	3.7423958610000003	0.249266882
pp_185211	0.30845176966666665	1.4981866430000002
pp_155708	16.661622642333334	1.4118048386666666
pp_227701	0.8566677013333334	0.10737008233333334
pp_100597	1.52094655	0.07288763933333334
pp_134778	0.7733979123333333	6.447183323
pp_209084	16.721094716666666	42.79586032
pp_136600	0.3229061576666667	0.010827903
pp_234155	2.369912703	0.5272902556666667
pp_31232	0.19798095533333332	1.4263565176666666
pp_166776	0.07898037566666666	0.0
pp_147734	0.374710592	0.04773059
pp_148901	0.19847575833333334	0.021655806
pp_205988	0.166224997	2.1085856823333335
pp_56593	0.4709878353333333	0.0
